MONTH_YEAR,LGA_NAME,UNIQUE_HOSTS,ESTIMATED_REVENUE,ESTIMATED_REVENUE_PER_HOST
01_2021,burwood,52,62877372,1209180.23
02_2021,burwood,52,30684390,590084.42
03_2021,burwood,52,32679474,628451.42
04_2021,burwood,52,42555960,818383.85
05_2020,burwood,58,46282590,797975.69
06_2020,burwood,56,38119620,680707.50
07_2020,burwood,56,39717312,709237.71
08_2020,burwood,55,39599568,719992.15
09_2020,burwood,56,48429282,864808.61
10_2020,burwood,55,57456108,1044656.51
11_2020,burwood,55,45969060,835801.09
12_2020,burwood,54,81144042,1502667.44
01_2021,hunters hill,29,14656596,505399.86
02_2021,hunters hill,29,11726736,404370.21
03_2021,hunters hill,28,12001368,428620.29
04_2021,hunters hill,27,9306798,344696.22
05_2020,hunters hill,33,13938318,422373.27
06_2020,hunters hill,34,13883514,408338.65
07_2020,hunters hill,33,13201980,400060.00
08_2020,hunters hill,29,10244220,353248.97
09_2020,hunters hill,32,13158492,411202.88
10_2020,hunters hill,31,13248852,427382.32
11_2020,hunters hill,31,11130996,359064.39
12_2020,hunters hill,29,13519176,466178.48
01_2021,lane cove,103,72033921,699358.46
02_2021,lane cove,103,63494145,616448.01
03_2021,lane cove,100,65619009,656190.09
04_2021,lane cove,96,76770531,799693.03
05_2020,lane cove,123,136497186,1109733.22
06_2020,lane cove,122,83238291,682281.07
07_2020,lane cove,118,87091560,738064.07
08_2020,lane cove,97,76747293,791209.21
09_2020,lane cove,111,76610007,690180.24
10_2020,lane cove,111,69858414,629355.08
11_2020,lane cove,109,67967685,623556.74
12_2020,lane cove,104,85761369,824628.55
01_2021,mosman,231,46780434,202512.70
02_2021,mosman,228,41581236,182373.84
03_2021,mosman,226,47378222,209638.15
04_2021,mosman,221,49346436,223287.04
05_2020,mosman,267,55026802,206092.89
06_2020,mosman,264,48666112,184341.33
07_2020,mosman,256,53226375,207915.53
08_2020,mosman,221,47094551,213097.52
09_2020,mosman,247,52709600,213399.19
10_2020,mosman,241,61248866,254144.67
11_2020,mosman,236,50135568,212438.85
12_2020,mosman,230,53269726,231607.50
01_2021,north sydney,120,204268844,1702240.37
02_2021,north sydney,117,185342274,1584122.00
03_2021,north sydney,114,219862331,1928616.94
04_2021,north sydney,110,223938377,2035803.43
05_2020,north sydney,136,206685830,1519748.75
06_2020,north sydney,136,189509697,1393453.65
07_2020,north sydney,131,180214827,1375685.70
08_2020,north sydney,109,151147555,1386674.82
09_2020,north sydney,128,183501253,1433603.54
10_2020,north sydney,122,232607973,1906622.73
11_2020,north sydney,115,198477617,1725892.32
12_2020,north sydney,121,259092132,2141257.29
01_2021,randwick,444,8891195100,20025214.19
02_2021,randwick,443,9591228255,21650628.12
03_2021,randwick,440,9018844080,20497372.91
04_2021,randwick,440,8815229310,20034612.07
05_2020,randwick,488,7734141405,15848650.42
06_2020,randwick,490,9065642685,18501311.60
07_2020,randwick,480,8473826955,17653806.16
08_2020,randwick,421,6676314255,15858228.63
09_2020,randwick,468,8010478710,17116407.50
10_2020,randwick,465,7824480075,16826838.87
11_2020,randwick,455,6927773910,15225876.73
12_2020,randwick,445,9111181500,20474565.17
01_2021,strathfield,56,9903658,176851.04
02_2021,strathfield,55,6799678,123630.51
03_2021,strathfield,54,7722370,143006.85
04_2021,strathfield,53,8065562,152180.42
05_2020,strathfield,65,8732474,134345.75
06_2020,strathfield,63,9594652,152296.06
07_2020,strathfield,60,7500652,125010.87
08_2020,strathfield,52,5403204,103907.77
09_2020,strathfield,58,6435506,110957.00
10_2020,strathfield,57,7909558,138764.18
11_2020,strathfield,55,7110810,129287.45
12_2020,strathfield,54,9590960,177610.37
01_2021,sydney,162,11180937725,69018134.10
02_2021,sydney,160,10386384950,64914905.94
03_2021,sydney,158,10250997625,64879731.80
04_2021,sydney,153,11711854900,76548071.24
05_2020,sydney,183,9698738475,52998570.90
06_2020,sydney,182,10233577775,56228449.31
07_2020,sydney,175,11188085050,63931914.57
08_2020,sydney,157,8820159825,56179361.94
09_2020,sydney,166,10535502075,63466879.97
10_2020,sydney,165,10781719300,65343753.33
11_2020,sydney,165,10223588925,61961145.00
12_2020,sydney,162,11695778650,72196164.51
01_2021,willoughby,58,59758860,1030325.17
02_2021,willoughby,57,46434960,814648.42
03_2021,willoughby,56,49395840,882068.57
04_2021,willoughby,55,53056680,964666.91
05_2020,willoughby,62,59394510,957975.97
06_2020,willoughby,61,58202220,954134.75
07_2020,willoughby,58,61798140,1065485.17
08_2020,willoughby,52,50145500,964336.54
09_2020,willoughby,57,56277770,987329.30
10_2020,willoughby,57,62252860,1092155.44
11_2020,willoughby,58,60246120,1038726.21
12_2020,willoughby,57,68488340,1201549.82
01_2021,woollahra,149,2975611590,19970547.58
02_2021,woollahra,148,2014808663,13613572.05
03_2021,woollahra,148,2766901669,18695281.55
04_2021,woollahra,139,3001456199,21593210.06
05_2020,woollahra,162,1809292842,11168474.33
06_2020,woollahra,162,1776884242,10968421.25
07_2020,woollahra,162,2106689130,13004253.89
08_2020,woollahra,140,1930350695,13788219.25
09_2020,woollahra,155,1872392242,12079949.95
10_2020,woollahra,155,2481041612,16006720.08
11_2020,woollahra,155,1587705763,10243262.99
12_2020,woollahra,150,3512272757,23415151.71
01_2021,,23783,24637157265,1035914.61
02_2021,,23661,22771414247,962402.87
03_2021,,23469,22167326979,944536.49
04_2021,,23145,19694949797,850937.56
05_2020,,25794,18930943195,733928.17
06_2020,,25478,18741736979,735604.72
07_2020,,24965,22648725133,907219.11
08_2020,,22018,10865468790,493481.19
09_2020,,24410,14034894935,574964.97
10_2020,,24114,15893204511,659086.20
11_2020,,23897,15033938090,629114.03
12_2020,,24003,21089570486,878622.28
